Episode: 472, Score: -626.4, Steps: 12, Coins: 0, Invalid Moves: 5, Bombs Dropped: 2
Episode: 473, Score: -355.75, Steps: 5, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 474, Score: -566.0999999999999, Steps: 18, Coins: 0, Invalid Moves: 4, Bombs Dropped: 2
Episode: 475, Score: -445.75, Steps: 5, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 476, Score: -460.75, Steps: 5, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 477, Score: -490.75, Steps: 5, Coins: 0, Invalid Moves: 3, Bombs Dropped: 1
Episode: 478, Score: -355.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 479, Score: -325.65, Steps: 7, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 480, Score: -309.6, Steps: 8, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 481, Score: -445.8, Steps: 4, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 482, Score: -385.7, Steps: 6, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 483, Score: -414.4, Steps: 12, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 484, Score: -430.7, Steps: 6, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 485, Score: -370.65000000000003, Steps: 7, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 486, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 487, Score: -310.5, Steps: 10, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 488, Score: -580.5, Steps: 10, Coins: 0, Invalid Moves: 4, Bombs Dropped: 1
Episode: 489, Score: -310.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 490, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 491, Score: -490.7, Steps: 6, Coins: 0, Invalid Moves: 3, Bombs Dropped: 1
Episode: 492, Score: -573.3499999999999, Steps: 13, Coins: 0, Invalid Moves: 4, Bombs Dropped: 2
Episode: 493, Score: -355.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 494, Score: -400.7, Steps: 6, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 495, Score: -476.05000000000007, Steps: 19, Coins: 0, Invalid Moves: 2, Bombs Dropped: 2
Episode: 496, Score: -392.8, Steps: 4, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 497, Score: -400.6, Steps: 8, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 498, Score: -370.55, Steps: 9, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 499, Score: -490.45, Steps: 11, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 500, Score: -310.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 721, Score: -460.15, Steps: 17, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 722, Score: -377.5, Steps: 10, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 723, Score: -490.6, Steps: 8, Coins: 0, Invalid Moves: 3, Bombs Dropped: 1
Episode: 724, Score: -302.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 725, Score: -340.5, Steps: 10, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 726, Score: -415.65, Steps: 7, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 727, Score: -460.75, Steps: 5, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 728, Score: -505.6, Steps: 8, Coins: 0, Invalid Moves: 3, Bombs Dropped: 1
Episode: 729, Score: -491.29999999999995, Steps: 14, Coins: 0, Invalid Moves: 2, Bombs Dropped: 2
Episode: 730, Score: -385.6, Steps: 8, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 731, Score: -581.1499999999999, Steps: 17, Coins: 0, Invalid Moves: 4, Bombs Dropped: 2
Episode: 732, Score: -355.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 733, Score: -611.4499999999998, Steps: 31, Coins: 0, Invalid Moves: 3, Bombs Dropped: 3
Episode: 734, Score: -370.55, Steps: 9, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 735, Score: -370.55, Steps: 9, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 736, Score: -482.8, Steps: 4, Coins: 0, Invalid Moves: 3, Bombs Dropped: 1
Episode: 737, Score: -401.4, Steps: 12, Coins: 0, Invalid Moves: 1, Bombs Dropped: 2
Episode: 738, Score: -310.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 739, Score: -302.5, Steps: 10, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 740, Score: -325.75, Steps: 5, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 741, Score: -355.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 742, Score: -354.65, Steps: 7, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 743, Score: -347.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 744, Score: -370.65, Steps: 7, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 745, Score: -310.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 746, Score: -341.15, Steps: 17, Coins: 0, Invalid Moves: 0, Bombs Dropped: 2
Episode: 747, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 748, Score: -310.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 749, Score: -392.8, Steps: 4, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 750, Score: -400.8, Steps: 4, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 971, Score: -310.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 972, Score: -505.65, Steps: 7, Coins: 0, Invalid Moves: 3, Bombs Dropped: 1
Episode: 973, Score: -445.8, Steps: 4, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 974, Score: -400.8, Steps: 4, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 975, Score: -355.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 976, Score: -490.8, Steps: 4, Coins: 0, Invalid Moves: 3, Bombs Dropped: 1
Episode: 977, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 978, Score: -355.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 979, Score: -355.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 980, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 981, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 982, Score: -370.65, Steps: 7, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 983, Score: -325.45, Steps: 11, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 984, Score: -354.1, Steps: 18, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 985, Score: -392.8, Steps: 4, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 986, Score: -497.45, Steps: 11, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 987, Score: -310.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 988, Score: -325.75, Steps: 5, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 989, Score: -362.65, Steps: 7, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 990, Score: -445.8, Steps: 4, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 991, Score: -452.65, Steps: 7, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 992, Score: -445.35, Steps: 13, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 993, Score: -355.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 994, Score: -310.6, Steps: 8, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 995, Score: -310.6, Steps: 8, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 996, Score: -369.70000000000005, Steps: 26, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 997, Score: -490.5, Steps: 10, Coins: 0, Invalid Moves: 3, Bombs Dropped: 1
Episode: 998, Score: -385.5, Steps: 10, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 999, Score: -355.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 1000, Score: -437.65, Steps: 7, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
